"","country","year","gdp","pop","CBIE","aver","inf","exec","military","gov1rlc","allhouse","fin","asia","europe","northam","southam","ocean","africa","test","infw"
"1","Albania",1992,994.954,333.672,0.5225,0.529625,225.996002197266,"Left",0,"Left",1,0.806,0,1,0,0,0,0,1,74.0663909912109
"2","Albania",1993,1061.573,335.249,0.5225,0.529625,85.004997253418,"Right",0,"Right",1,0.806,0,1,0,0,0,0,1,74.0663909912109
"3","Albania",1994,1168.364,337.842,0.5225,0.529625,22.5650005340576,"Right",0,"Right",1,0.806,0,1,0,0,0,0,1,22.5650005340576
"4","Albania",1995,1277.975,339.086,0.5225,0.529625,7.7546067237854,"Right",0,"Right",1,0.806,0,1,0,0,0,0,1,7.7546067237854
"5","Algeria",1975,13820.458,1781.076,0.4875,0.510875,8.23031997680664,"Left",0,"Left",1,0.7085,0,0,0,0,0,1,1,8.23031997680664
"6","Algeria",1976,14812.046,1834.733,0.4875,0.510875,9.43074035644531,"Left",0,"Left",1,0.7085,0,0,0,0,0,1,1,9.43074035644531
"7","Algeria",1977,16122.809,1889.634,0.4875,0.510875,11.9892997741699,"Left",0,"Left",1,0.7085,0,0,0,0,0,1,1,11.9892997741699
"8","Algeria",1978,17646.409,1946.256,0.4875,0.510875,17.5238990783691,"Left",1,"Left",1,0.7085,0,0,0,0,0,1,1,17.5238990783691
"9","Algeria",1979,19172.943,2006.847,0.4875,0.510875,11.3486003875732,"Left",1,"Left",1,0.7085,0,0,0,0,0,1,1,11.3486003875732
"10","Algeria",1980,20356.979,2075.017,0.4875,0.510875,9.66800022125244,"Left",1,"Left",1,0.7085,0,0,0,0,0,1,1,9.66800022125244
"11","Algeria",1981,21437.323,2140.994,0.4875,0.510875,14.6099996566772,"Left",1,"Left",1,0.7085,0,0,0,0,0,1,1,14.6099996566772
"12","Algeria",1982,22431.126,2210.375,0.4875,0.510875,6.59299993515015,"Left",1,"Left",1,0.7085,0,0,0,0,0,1,1,6.59299993515015
"13","Algeria",1983,23575.206,2278.079,0.4875,0.510875,7.83500003814697,"Left",0,"Left",1,0.7085,0,0,0,0,0,1,1,7.83500003814697
"14","Algeria",1984,24396.346,2349.754,0.4875,0.510875,6.30999994277954,"Left",0,"Left",1,0.7085,0,0,0,0,0,1,1,6.30999994277954
"15","Algeria",1985,25044.184,2418.385,0.4875,0.510875,10.4320001602173,"Left",1,"Left",1,0.7085,0,0,0,0,0,1,1,10.4320001602173
"16","Algeria",1986,24150.818,2474.204,0.4875,0.510875,14.0069999694824,"Left",1,"Left",1,0.7085,0,0,0,0,0,1,1,14.0069999694824
"17","Algeria",1987,23566.265,2541.102,0.4875,0.510875,5.85699987411499,"Left",1,"Left",1,0.7085,0,0,0,0,0,1,1,5.85699987411499
"18","Algeria",1988,22997.457,2604.708,0.4875,0.510875,5.93800020217896,"Left",1,"Left",1,0.7085,0,0,0,0,0,1,1,5.93800020217896
"19","Algeria",1989,23176.998,2679.73,0.4875,0.510875,9.17199993133545,"Left",1,"Left",1,0.7085,0,0,0,0,0,1,1,9.17199993133545
"20","Algeria",1990,23486.325,2763.806,0.5265,0.537375,9.27200031280518,"Left",1,"Left",1,0.7915,0,0,0,0,0,1,1,9.27200031280518
"21","Algeria",1991,23530.312,2837.938,0.5265,0.537375,25.8999996185303,"Left",1,"Left",1,0.7915,0,0,0,0,0,1,1,25.8999996185303
"22","Algeria",1992,23726.588,2914.751,0.5265,0.537375,31.7000007629395,"Left",1,"Left",1,0.7915,0,0,0,0,0,1,1,31.7000007629395
"23","Argentina",1984,25805.62,3001.294,0.476,0.40325,626.718994140625,"Center",0,"Center",1,0.7915,0,0,0,1,0,0,1,74.0663909912109
